,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,Genre Ids,Genre Names,Company Ids,Company Names
195,Dunkirk,50513488.0,188045546.0,26.9%,3720.0,13578.0,2017-07-21,3.0,2017.0,Dunkirk (2017),Summer,100000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",374720,tt5013056,en,Dunkirk,30.938854,"[{'name': 'Canal+', 'id': 5358}, {'name': 'Studio Canal', 'id': 5870}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Syncopy', 'id': 9996}, {'name': 'RatPac-Dune Entertainment', 'id': 41624}, {'name': 'Kaap Holland Film', 'id': 67254}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-07-19 00:00:00,519876949,107.0,Dunkirk,7.5,2712.0,28,Action,5358,Canal+
196,2 Fast 2 Furious,50472480.0,127154901.0,39.7%,3408.0,14810.0,2003-06-06,3.0,2003.0,2 Fast 2 Furious (2003),Summer,76000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",584,tt0322259,en,2 Fast 2 Furious,2.32462,"[{'name': 'Mikona Productions GmbH & Co. KG', 'id': 24}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Original Film', 'id': 333}, {'name': 'Ardustry Entertainment', 'id': 26281}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-06-05 00:00:00,236350661,107.0,2 Fast 2 Furious,6.2,2087.0,28,Action,24,Mikona Productions GmbH & Co. KG
197,Jackass 3D,50353641.0,117229692.0,43%,3081.0,16343.0,2010-10-15,4.0,2010.0,Jackass 3D (2010),Fall,20000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}]",16290,tt1116184,en,Jackass 3D,10.997518,"[{'name': 'MTV Films', 'id': 746}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'RO', 'name': 'Romania'}]",2010-10-15 00:00:00,117224271,94.0,Jackass 3D,6.4,434.0,35,Comedy,746,MTV Films
198,Mr. & Mrs. Smith,50342878.0,186336279.0,27%,3424.0,14702.0,2005-06-10,3.0,2005.0,Mr. & Mrs. Smith (2005),Summer,110000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",787,tt0356910,en,Mr. & Mrs. Smith,15.724373,"[{'name': 'Weed Road Pictures', 'id': 433}, {'name': 'Summit Entertainment', 'id': 491}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'New Regency Pictures', 'id': 10104}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-06-07 00:00:00,478207520,120.0,Mr. & Mrs. Smith,6.5,3048.0,28,Action,433,Weed Road Pictures
199,Rush Hour 3,50237000.0,140125968.0,35.8%,3778.0,13297.0,2007-08-10,3.0,2007.0,Rush Hour 3 (2007),Summer,140000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",5174,tt0293564,en,Rush Hour 3,9.718111,"[{'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-08-08 00:00:00,258022233,91.0,Rush Hour 3,6.1,801.0,28,Action,12,New Line Cinema
200,Independence Day,50228264.0,306169268.0,16.4%,2882.0,17428.0,1996-07-03,3.0,1996.0,Independence Day (1996),Summer,75000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",602,tt0116629,en,Independence Day,17.634197,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Centropolis Entertainment', 'id': 347}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-06-25 00:00:00,816969268,145.0,Independence Day,6.7,3334.0,28,Action,306,Twentieth Century Fox Film Corporation
201,The Boss Baby,50198902.0,175003033.0,28.7%,3773.0,13304.0,2017-03-31,2.0,2017.0,The Boss Baby (2017),Spring,125000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",295693,tt3874544,en,The Boss Baby,13.392824,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'DreamWorks Animation', 'id': 521}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-03-23 00:00:00,498814908,97.0,The Boss Baby,6.1,2336.0,16,Animation,306,Twentieth Century Fox Film Corporation
202,King Kong,50130145.0,218080025.0,23%,3568.0,14049.0,2005-12-14,1.0,2005.0,King Kong (2005),Winter,207000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",254,tt0360717,en,King Kong,19.761164,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Big Primate Pictures', 'id': 68}, {'name': 'MFPV Film', 'id': 69}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2005-12-14 00:00:00,550000000,187.0,King Kong,6.6,2403.0,12,Adventure,11,WingNut Films
203,The Great Gatsby,50085185.0,144840419.0,34.6%,3535.0,14168.0,2013-05-10,2.0,2013.0,The Great Gatsby (2013),Spring,105000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",64682,tt1343092,en,The Great Gatsby,17.598936,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Bazmark Films', 'id': 240}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'A&E Television Networks', 'id': 11858}, {'name': 'Red Wagon Entertainment', 'id': 14440}, {'name': 'Spectrum Films', 'id': 14604}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]",2013-05-10 00:00:00,351040419,143.0,The Great Gatsby,7.3,3885.0,18,Drama,79,Village Roadshow Pictures
204,Scary Movie 3,49700000.0,110003217.0,45.2%,3505.0,14179.0,2003-10-24,4.0,2003.0,Scary Movie 3 (2003),Fall,48000000,"[{'id': 35, 'name': 'Comedy'}]",4256,tt0306047,en,Scary Movie 3,11.142209,"[{'name': 'Dimension Films', 'id': 7405}, {'name': 'Brad Grey Pictures', 'id': 10958}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-10-24 00:00:00,220673217,84.0,Scary Movie 3,5.8,948.0,35,Comedy,7405,Dimension Films
205,Taken 2,49514769.0,139854287.0,35.4%,3661.0,13524.0,2012-10-05,4.0,2012.0,Taken 2 (2012),Fall,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",82675,tt1397280,en,Taken 2,16.376482,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'M6 Films', 'id': 1115}, {'name': 'Canal+', 'id': 5358}, {'name': 'Grive Productions', 'id': 6877}, {'name': 'EuropaCorp', 'id': 6896}, {'name': 'Ciné+', 'id': 10611}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2012-09-27 00:00:00,376141306,91.0,Taken 2,6.1,2783.0,28,Action,306,Twentieth Century Fox Film Corporation
206,How to Train Your Dragon 2,49451322.0,177002924.0,27.9%,4253.0,11627.0,2014-06-13,3.0,2014.0,How to Train Your Dragon 2 (2014),Summer,145000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",82702,tt1646971,en,How to Train Your Dragon 2,12.256689,"[{'name': 'DreamWorks Animation', 'id': 521}, {'name': 'Mad Hatter Entertainment', 'id': 20154}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-06-12 00:00:00,609123048,102.0,How to Train Your Dragon 2,7.6,3163.0,14,Fantasy,521,DreamWorks Animation
207,Wreck-It Ralph,49038712.0,189422889.0,25.9%,3752.0,13070.0,2012-11-02,4.0,2012.0,Wreck-It Ralph (2012),Fall,165000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",82690,tt1772341,en,Wreck-It Ralph,13.697597,"[{'name': 'Walt Disney Animation Studios', 'id': 6125}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-11-01 00:00:00,471222889,108.0,Wreck-It Ralph,7.1,4656.0,10751,Family,6125,Walt Disney Animation Studios
208,Neighbors,49033915.0,150157400.0,32.7%,3279.0,14953.0,2014-05-09,2.0,2014.0,Neighbors (2014),Spring,18000000,"[{'id': 35, 'name': 'Comedy'}]",195589,tt2004420,en,Neighbors,11.90575,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Point Grey Pictures', 'id': 16615}, {'name': 'Good Universe', 'id': 17393}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-05-08 00:00:00,268157400,96.0,Neighbors,6.2,2773.0,35,Comedy,33,Universal Pictures
209,Alvin and the Chipmunks: The Squeakquel,48875415.0,219614612.0,22.3%,3700.0,13209.0,2009-12-23,1.0,2009.0,Alvin and the Chipmunks: The Squeakquel (2009),Winter,75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",23398,tt1231580,en,Alvin and the Chipmunks: The Squeakquel,9.909961,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Bagdasarian Productions', 'id': 10930}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-12-21 00:00:00,443140005,88.0,Alvin and the Chipmunks: The Squeakquel,5.3,688.0,35,Comedy,508,Regency Enterprises
210,Tangled,48767052.0,200821936.0,24.3%,3603.0,13535.0,2010-11-24,4.0,2010.0,Tangled (2010),Fall,260000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",38757,tt0398286,en,Tangled,14.684761,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Animation Studios', 'id': 6125}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-11-24 00:00:00,591794936,100.0,Tangled,7.4,3419.0,16,Animation,2,Walt Disney Pictures
211,Batman Begins,48745440.0,205343774.0,23.7%,3858.0,12634.0,2005-06-15,3.0,2005.0,Batman Begins (2005),Summer,150000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",272,tt0372784,en,Batman Begins,28.505341,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Syncopy', 'id': 9996}, {'name': 'Patalex III Productions Limited', 'id': 19231}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-06-10 00:00:00,374218673,140.0,Batman Begins,7.5,7511.0,28,Action,429,DC Comics
212,The Matrix Revolutions,48475154.0,139313948.0,34.8%,3502.0,13842.0,2003-11-05,4.0,2003.0,The Matrix Revolutions (2003),Fall,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",605,tt0242653,en,The Matrix Revolutions,15.368205,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]",2003-11-05 00:00:00,424988211,129.0,The Matrix Revolutions,6.4,3155.0,12,Adventure,79,Village Roadshow Pictures
213,Hotel Transylvania 2,48464322.0,169700110.0,28.6%,3754.0,12910.0,2015-09-25,4.0,2015.0,Hotel Transylvania 2 (2015),Fall,80000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",159824,tt2510894,en,Hotel Transylvania 2,11.760218,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Sony Pictures Animation', 'id': 2251}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-09-21 00:00:00,473226958,89.0,Hotel Transylvania 2,6.7,1528.0,16,Animation,5,Columbia Pictures
214,The Fault in Our Stars,48002523.0,124872350.0,38.4%,3173.0,15128.0,2014-06-06,3.0,2014.0,The Fault in Our Stars (2014),Summer,12000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",222935,tt2582846,en,The Fault in Our Stars,16.274653,"[{'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Temple Hill Entertainment', 'id': 12292}, {'name': 'TSG Entertainment', 'id': 22213}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-05-16 00:00:00,307166834,125.0,The Fault in Our Stars,7.6,3868.0,10749,Romance,711,Fox 2000 Pictures
215,Mission: Impossible III,47743273.0,134029801.0,35.6%,4054.0,11776.0,2006-05-05,2.0,2006.0,Mission: Impossible III (2006),Spring,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",956,tt0317919,en,Mission: Impossible III,15.687983,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Cruise/Wagner Productions', 'id': 44}, {'name': 'Studio Babelsberg', 'id': 264}, {'name': 'MI 3 Film', 'id': 658}, {'name': 'China Film Co-Production Corporation', 'id': 2269}, {'name': 'China Film Group Corporation (CFGC)', 'id': 14714}, {'name': 'The Fourth Production Company Film Group', 'id': 22102}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-05-03 00:00:00,397850012,126.0,Mission: Impossible III,6.5,2062.0,12,Adventure,4,Paramount Pictures
216,Lara Croft: Tomb Raider,47735743.0,131168070.0,36.4%,3308.0,14430.0,2001-06-15,3.0,2001.0,Lara Croft: Tomb Raider (2001),Summer,115000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995,tt0146316,en,Lara Croft: Tomb Raider,15.851722,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Toho-Towa', 'id': 657}, {'name': 'Mutual Film Company', 'id': 762}, {'name': 'Lawrence Gordon Productions', 'id': 840}, {'name': 'British Broadcasting Corporation (BBC)', 'id': 3324}, {'name': 'Marubeni', 'id': 4650}, {'name': 'Eidos Interactive', 'id': 19105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-06-11 00:00:00,274703340,100.0,Lara Croft: Tomb Raider,5.7,2235.0,12,Adventure,4,Paramount Pictures
217,Kung Fu Panda 2,47656302.0,165249063.0,28.8%,3925.0,12141.0,2011-05-26,2.0,2011.0,Kung Fu Panda 2 (2011),Spring,150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",49444,tt1302011,en,Kung Fu Panda 2,11.481921,"[{'name': 'DreamWorks Animation', 'id': 521}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-05-25 00:00:00,665692281,91.0,Kung Fu Panda 2,6.7,1925.0,16,Animation,521,DreamWorks Animation
218,The Longest Yard,47606480.0,158119460.0,30.1%,3634.0,13100.0,2005-05-27,2.0,2005.0,The Longest Yard (2005),Spring,82000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",9291,tt0398165,en,The Longest Yard,7.349843,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'MTV Films', 'id': 746}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Callahan Filmworks', 'id': 60378}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-05-19 00:00:00,190320568,113.0,The Longest Yard,6.2,804.0,35,Comedy,4,Paramount Pictures
219,Shark Tale,47604606.0,160861908.0,29.6%,4016.0,11853.0,2004-10-01,4.0,2004.0,Shark Tale (2004),Fall,75000000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",10555,tt0307453,en,Shark Tale,17.999273,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Pacific Data Images (PDI)', 'id': 520}, {'name': 'DreamWorks Animation', 'id': 521}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-09-20 00:00:00,367275019,90.0,Shark Tale,5.8,1612.0,16,Animation,27,DreamWorks SKG
220,Interstellar,47510360.0,188020017.0,25.3%,3561.0,13341.0,2014-11-05,4.0,2014.0,Interstellar (2014),Fall,165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",157336,tt0816692,en,Interstellar,32.213481,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Syncopy', 'id': 9996}, {'name': 'Lynda Obst Productions', 'id': 13769}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2014-11-05 00:00:00,675120017,169.0,Interstellar,8.1,11187.0,12,Adventure,4,Paramount Pictures
221,Madagascar,47224594.0,193595521.0,24.4%,4131.0,11431.0,2005-05-27,2.0,2005.0,Madagascar (2005),Spring,75000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",953,tt0351283,en,Madagascar,16.136217,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Pacific Data Images (PDI)', 'id': 520}, {'name': 'DreamWorks Animation', 'id': 521}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-05-25 00:00:00,532680671,86.0,Madagascar,6.6,3322.0,10751,Family,27,DreamWorks SKG
222,The Lord of the Rings: The Fellowship of the Ring,47211490.0,313364114.0,15.1%,3359.0,14055.0,2001-12-19,1.0,2001.0,The Lord of the Rings: The Fellowship of the Ring (2001),Winter,93000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,32.070725,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'The Saul Zaentz Company', 'id': 5237}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-12-18 00:00:00,871368364,178.0,The Lord of the Rings: The Fellowship of the Ring,8.0,8892.0,12,Adventure,11,WingNut Films
223,Die Another Day,47072040.0,160942139.0,29.2%,3314.0,14203.0,2002-11-22,4.0,2002.0,Die Another Day (2002),Fall,140000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",36669,tt0246460,en,Die Another Day,12.996474,"[{'name': 'Eon Productions', 'id': 7576}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-11-17 00:00:00,431971116,133.0,Die Another Day,5.8,1112.0,12,Adventure,7576,Eon Productions
224,Talladega Nights: The Ballad of Ricky Bobby,47042215.0,148213377.0,31.7%,3803.0,12369.0,2006-08-04,3.0,2006.0,Talladega Nights: The Ballad of Ricky Bobby (2006),Summer,72500000,"[{'id': 35, 'name': 'Comedy'}]",9718,tt0415306,en,Talladega Nights: The Ballad of Ricky Bobby,6.936688,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Apatow Productions', 'id': 10105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-08-04 00:00:00,162966177,116.0,Talladega Nights: The Ballad of Ricky Bobby,6.2,497.0,35,Comedy,5,Columbia Pictures
225,Ratatouille,47027395.0,206445654.0,22.8%,3940.0,11935.0,2007-06-29,3.0,2007.0,Ratatouille (2007),Summer,150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2062,tt0382932,en,Ratatouille,20.50803,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Pixar Animation Studios', 'id': 3}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-06-22 00:00:00,623722818,111.0,Ratatouille,7.5,4510.0,16,Animation,2,Walt Disney Pictures
226,Jurassic Park,47026828.0,357067947.0,13.2%,2404.0,19561.0,1993-06-11,3.0,1993.0,Jurassic Park (1993),Summer,63000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",329,tt0107290,en,Jurassic Park,8.863776,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-06-11 00:00:00,920100000,127.0,Jurassic Park,7.6,4956.0,12,Adventure,33,Universal Pictures
227,Troy,46865412.0,133378256.0,35.1%,3411.0,13739.0,2004-05-14,2.0,2004.0,Troy (2004),Spring,175000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",652,tt0332452,en,Troy,15.387275,"[{'name': 'Plan B Entertainment', 'id': 81}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Nimar Studios', 'id': 7636}, {'name': 'Radiant Productions', 'id': 18990}, {'name': 'Helena Productions', 'id': 19107}, {'name': 'Latina Pictures', 'id': 19108}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'MT', 'name': 'Malta'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2004-05-13 00:00:00,497409852,163.0,Troy,6.9,2841.0,12,Adventure,81,Plan B Entertainment
228,Pirates of the Caribbean: The Curse of the Black Pearl,46630690.0,305413918.0,15.3%,3269.0,14264.0,2003-07-09,3.0,2003.0,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Summer,140000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",22,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,47.326665,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-07-09 00:00:00,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191.0,12,Adventure,2,Walt Disney Pictures
229,Ice Age: Continental Drift,46629259.0,161321843.0,28.9%,3881.0,12014.0,2012-07-13,3.0,2012.0,Ice Age: Continental Drift (2012),Summer,95000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",57800,tt1667889,en,Ice Age: Continental Drift,13.26958,"[{'name': 'Blue Sky Studios', 'id': 9383}, {'name': 'Twentieth Century Fox Animation', 'id': 11749}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-06-26 00:00:00,877244782,88.0,Ice Age: Continental Drift,6.2,2731.0,16,Animation,9383,Blue Sky Studios
230,Fifty Shades Darker,46607250.0,114581250.0,40.7%,3710.0,12562.0,2017-02-10,1.0,2017.0,Fifty Shades Darker (2017),Winter,55000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",341174,tt4465564,en,Fifty Shades Darker,29.130443,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Perfect World Pictures (Beijing)', 'id': 89473}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-02-08 00:00:00,378827494,118.0,Fifty Shades Darker,6.0,2341.0,18,Drama,33,Universal Pictures
231,Trolls,46581142.0,153707064.0,30.3%,4060.0,11473.0,2016-11-04,4.0,2016.0,Trolls (2016),Fall,125000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",136799,tt1679335,en,Trolls,16.83711,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'DreamWorks Animation', 'id': 521}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-10-13 00:00:00,346864462,92.0,Trolls,6.7,1054.0,12,Adventure,306,Twentieth Century Fox Film Corporation
232,Bad Boys II,46522560.0,138608444.0,33.6%,3186.0,14602.0,2003-07-18,3.0,2003.0,Bad Boys II (2003),Summer,130000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",8961,tt0172156,en,Bad Boys II,8.191436,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-07-18 00:00:00,273339556,147.0,Bad Boys II,6.3,1588.0,12,Adventure,441,Columbia Pictures Corporation
233,Ice Age,46312454.0,176387405.0,26.3%,3316.0,13966.0,2002-03-15,2.0,2002.0,Ice Age (2002),Spring,59000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",425,tt0268380,en,Ice Age,17.328902,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Blue Sky Studios', 'id': 9383}, {'name': 'Twentieth Century Fox Animation', 'id': 11749}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-03-10 00:00:00,383257136,81.0,Ice Age,7.1,3954.0,16,Animation,306,Twentieth Century Fox Film Corporation
