,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name
338,Independence Day: Resurgence,41039944,103144286,39.8%,4130,9937,2016-06-24,3,2016,Independence Day: Resurgence (2016),Summer
339,Madea Goes to Jail,41030947,90508336,45.3%,2032,20192,2009-02-20,1,2009,Madea Goes to Jail (2009),Winter
340,Casino Royale,40833156,167445960,24.4%,3434,11890,2006-11-17,4,2006,Casino Royale (2006),Fall
341,Paranormal Activity 2,40678424,84752907,48%,3216,12648,2010-10-22,4,2010,Paranormal Activity 2 (2010),Fall
342,Friday the 13th,40570365,65002019,62.4%,3105,13066,2009-02-13,1,2009,Friday the 13th (2009),Winter
343,Grown Ups,40506562,162001186,25%,3534,11461,2010-06-25,3,2010,Grown Ups (2010),Summer
344,G.I. Joe: Retaliation,40501814,122523060,33.1%,3719,10890,2013-03-28,2,2013,G.I. Joe: Retaliation (2013),Spring
345,Batman,40489746,251188924,16.1%,2194,18454,1989-06-23,3,1989,Batman (1989),Summer
346,The Mummy: Tomb of the Dragon Emperor,40457770,102491776,39.5%,3760,10760,2008-08-01,3,2008,The Mummy: Tomb of the Dragon Emperor (2008),Summer
347,The Conjuring 2,40406314,102470008,39.4%,3343,12086,2016-06-10,3,2016,The Conjuring 2 (2016),Summer
348,Glass,40328920,111048468,36.3%,3841,10499,2019-01-18,1,2019,Glass (2019),Winter
349,The Last Airbender,40325019,131772187,30.6%,3169,12724,2010-07-01,3,2010,The Last Airbender (2010),Summer
350,Daredevil,40310419,102543518,39.3%,3471,11613,2003-02-14,1,2003,Daredevil (2003),Winter
351,Power Rangers,40300288,85364450,47.2%,3693,10912,2017-03-24,2,2017,Power Rangers (2017),Spring
352,Insidious: Chapter 2,40272103,83586447,48.2%,3049,13208,2013-09-13,4,2013,Insidious: Chapter 2 (2013),Fall
353,Scary Movie 4,40222875,90710620,44.3%,3602,11166,2006-04-14,2,2006,Scary Movie 4 (2006),Spring
354,Safe House,40172720,126373434,31.8%,3119,12880,2012-02-10,1,2012,Safe House (2012),Winter
355,Charlie's Angels,40128550,125305545,32%,3037,13213,2000-11-03,4,2000,Charlie's Angels (2000),Fall
356,The Fast and the Furious,40089015,144533925,27.7%,2628,15254,2001-06-22,3,2001,The Fast and the Furious (2001),Summer
357,Cloverfield,40058229,80048433,50%,3411,11743,2008-01-18,1,2008,Cloverfield (2008),Winter
358,Chicken Little,40049778,135386665,29.6%,3654,10960,2005-11-04,4,2005,Chicken Little (2005),Fall
359,Click,40011365,137355633,29.1%,3749,10672,2006-06-23,3,2006,Click (2006),Summer
360,Split,40010975,138291365,28.9%,3038,13170,2017-01-20,1,2017,Split (2017),Winter
361,50 First Dates,39852237,120908074,33%,3591,11097,2004-02-13,1,2004,50 First Dates (2004),Winter
362,Wild Hogs,39699023,168273550,23.6%,3287,12077,2007-03-02,2,2007,Wild Hogs (2007),Spring
363,Sherlock Holmes: A Game of Shadows,39637079,186848418,21.2%,3703,10704,2011-12-16,1,2011,Sherlock Holmes: A Game of Shadows (2011),Winter
364,The Waterboy,39414071,161491646,24.4%,2664,14795,1998-11-06,4,1998,The Waterboy (1998),Fall
365,Rio 2,39327869,131538435,29.9%,3948,9961,2014-04-11,2,2014,Rio 2 (2014),Spring
366,Rio,39225962,143619809,27.3%,3826,10252,2011-04-15,2,2011,Rio (2011),Spring
367,Taken 3,39201657,89256424,43.9%,3594,10907,2015-01-09,1,2015,Taken 3 (2015),Winter
368,The Break-Up,39172785,118703275,33%,3070,12759,2006-06-02,3,2006,The Break-Up (2006),Summer
369,The Good Dinosaur,39155217,123087120,31.8%,3749,10444,2015-11-25,4,2015,The Good Dinosaur (2015),Fall
370,Ocean's Twelve,39153380,125544280,31.2%,3290,11900,2004-12-10,1,2004,Ocean's Twelve (2004),Winter
371,The Grudge,39128715,110359362,35.5%,3245,12058,2004-10-22,4,2004,The Grudge (2004),Fall
372,Magic Mike,39127170,113721571,34.4%,2930,13353,2012-06-29,3,2012,Magic Mike (2012),Summer
373,Onward,39119861,61555145,63.6%,4310,9076,2020-03-06,2,2020,Onward (2020),Spring
374,The Heat,39115043,159582188,24.5%,3181,12296,2013-06-28,3,2013,The Heat (2013),Summer
375,Kingsman: The Golden Circle,39023010,100229647,38.9%,4003,9748,2017-09-22,4,2017,Kingsman: The Golden Circle (2017),Fall
376,Dinosaur,38854851,137748063,28.2%,3257,11929,2000-05-19,2,2000,Dinosaur (2000),Spring
377,Daddy's Home,38740203,150357137,25.8%,3271,11843,2015-12-25,1,2015,Daddy's Home (2015),Winter
378,Get Smart,38683480,130319208,29.7%,3911,9890,2008-06-20,3,2008,Get Smart (2008),Summer
379,Fifty Shades Freed,38560195,100407760,38.4%,3768,10233,2018-02-09,1,2018,Fifty Shades Freed (2018),Winter
380,You Don't Mess with the Zohan,38531374,100018837,38.5%,3462,11129,2008-06-06,3,2008,You Don't Mess with the Zohan (2008),Summer
381,The Legend of Tarzan,38527856,126643061,30.4%,3561,10819,2016-07-01,3,2016,The Legend of Tarzan (2016),Summer
382,Over the Hedge,38457003,155019340,24.8%,4059,9474,2006-05-19,2,2006,Over the Hedge (2006),Spring
383,The Cat in the Hat,38329160,101149285,37.9%,3464,11065,2003-11-21,4,2003,The Cat in the Hat (2003),Fall
384,Alien vs. Predator,38291056,80282231,47.7%,3395,11278,2004-08-13,3,2004,Alien vs. Predator (2004),Summer
385,The Angry Birds Movie,38155177,107509366,35.5%,3932,9703,2016-05-20,2,2016,The Angry Birds Movie (2016),Spring
386,The Bourne Legacy,38142825,113203870,33.7%,3745,10185,2012-08-10,3,2012,The Bourne Legacy (2012),Summer
387,Ocean's Eleven,38107822,183417150,20.8%,3075,12392,2001-12-07,1,2001,Ocean's Eleven (2001),Winter
388,Rango,38079323,123477607,30.8%,3917,9721,2011-03-04,2,2011,Rango (2011),Spring
389,Inglourious Basterds,38054676,120540719,31.6%,3165,12023,2009-08-21,3,2009,Inglourious Basterds (2009),Summer
390,Bee Movie,38021044,126631277,30%,3928,9679,2007-11-02,4,2007,Bee Movie (2007),Fall
391,Ace Ventura: When Nature Calls,37804076,108385533,34.9%,2652,14254,1995-11-10,4,1995,Ace Ventura: When Nature Calls (1995),Fall
392,Charlie's Angels: Full Throttle,37634221,100830111,37.3%,3459,10880,2003-06-27,3,2003,Charlie's Angels: Full Throttle (2003),Summer
393,Hop,37543710,108085305,34.7%,3579,10490,2011-04-01,2,2011,Hop (2011),Spring
394,Gone Girl,37513109,167767189,22.4%,3014,12446,2014-10-03,4,2014,Gone Girl (2014),Fall
395,District 9,37354308,115646235,32.3%,3049,12251,2009-08-14,3,2009,District 9 (2009),Summer
396,Pacific Rim,37285325,101802906,36.6%,3275,11384,2013-07-12,3,2013,Pacific Rim (2013),Summer
397,Mr. Deeds,37162787,126293452,29.4%,3231,11501,2002-06-28,3,2002,Mr. Deeds (2002),Summer
398,Annabelle,37134255,84273813,44.1%,3185,11659,2014-10-03,4,2014,Annabelle (2014),Fall
399,Air Force One,37132505,172956409,21.5%,2919,12720,1997-07-25,3,1997,Air Force One (1997),Summer
400,S.W.A.T.,37062535,116934650,31.7%,3202,11574,2003-08-08,3,2003,S.W.A.T. (2003),Summer
401,Oblivion,37054485,89107235,41.6%,3783,9795,2013-04-19,2,2013,Oblivion (2013),Spring
402,Maleficent: Mistress of Evil,36948713,113929605,32.4%,3790,9749,2019-10-18,4,2019,Maleficent: Mistress of Evil (2019),Fall
403,Red Dragon,36540945,93149898,39.2%,3357,10885,2002-10-04,4,2002,Red Dragon (2002),Fall
404,Cowboys & Aliens,36431290,100240551,36.3%,3750,9715,2011-07-29,3,2011,Cowboys & Aliens (2011),Summer
405,Freddy vs. Jason,36400000,82622655,44.1%,3014,12076,2003-08-15,3,2003,Freddy vs. Jason (2003),Summer
406,Interview with the Vampire: The Vampire Chronicles,36389705,105264608,34.6%,2604,13974,1994-11-11,4,1994,Interview with the Vampire: The Vampire Chronicles (1994),Fall
407,Marley & Me,36357586,143153751,25.4%,3480,10447,2008-12-25,1,2008,Marley & Me (2008),Winter
408,21 Jump Street,36302612,138447667,26.2%,3121,11631,2012-03-16,2,2012,21 Jump Street (2012),Spring
409,Kingsman: The Secret Service,36206331,128261724,28.2%,3204,11300,2015-02-13,1,2015,Kingsman: The Secret Service (2015),Winter
410,Jumanji: Welcome to the Jungle,36169328,404515480,8.9%,3765,9606,2017-12-20,1,2017,Jumanji: Welcome to the Jungle (2017),Winter
411,Alien: Covenant,36160621,74262031,48.7%,3761,9614,2017-05-19,2,2017,Alien: Covenant (2017),Spring
412,Ocean's Thirteen,36133403,117154724,30.8%,3565,10135,2007-06-08,3,2007,Ocean's Thirteen (2007),Summer
413,Dumb and Dumber To,36111775,86208010,41.9%,3154,11449,2014-11-14,4,2014,Dumb and Dumber To (2014),Fall
414,Armageddon,36089972,201578182,17.9%,3127,11541,1998-07-01,3,1998,Armageddon (1998),Summer
415,The Scorpion King,36075875,91047077,39.6%,3444,10474,2002-04-19,2,2002,The Scorpion King (2002),Spring
416,Robin Hood,36063385,105269730,34.3%,3503,10295,2010-05-14,2,2010,Robin Hood (2010),Spring
417,Robots,36045301,128200012,28.1%,3776,9545,2005-03-11,2,2005,Robots (2005),Spring
418,The Equalizer 2,36011640,102084362,35.3%,3388,10629,2018-07-20,3,2018,The Equalizer 2 (2018),Summer
419,Salt,36011243,118311368,30.4%,3612,9969,2010-07-23,3,2010,Salt (2010),Summer
420,Star Wars: Episode IV - A New Hope,35906661,138257865,26%,2104,17065,1997-01-31,1,1997,Star Wars: Episode IV - A New Hope (1997),Winter
421,"10,000 BC",35867488,94784201,37.8%,3410,10518,2008-03-07,2,2008,"10,000 BC (2008)",Spring
422,Rampage,35753093,101028233,35.4%,4101,8718,2018-04-13,2,2018,Rampage (2018),Spring
423,Minority Report,35677125,132072926,27%,3001,11888,2002-06-21,3,2002,Minority Report (2002),Summer
424,Sweet Home Alabama,35648740,127223418,28%,3293,10825,2002-09-27,4,2002,Sweet Home Alabama (2002),Fall
425,The Smurfs,35611637,142614158,25%,3395,10489,2011-07-29,3,2011,The Smurfs (2011),Summer
426,Creed II,35574710,115715889,30.7%,3441,10338,2018-11-21,4,2018,Creed II (2018),Fall
427,Battle Los Angeles,35573187,83552429,42.6%,3417,10410,2011-03-11,2,2011,Battle Los Angeles (2011),Spring
428,The Other Guys,35543162,119219978,29.8%,3651,9735,2010-08-06,3,2010,The Other Guys (2010),Summer
429,Central Intelligence,35535250,127440871,27.9%,3508,10129,2016-06-17,3,2016,Central Intelligence (2016),Summer
430,The World Is Not Enough,35519007,126943684,28%,3163,11229,1999-11-19,4,1999,The World Is Not Enough (1999),Fall
431,Super 8,35451168,127004179,27.9%,3379,10491,2011-06-10,3,2011,Super 8 (2011),Summer
432,Spider-Man: Into the Spider-Verse,35363376,190241310,18.6%,3813,9274,2018-12-14,1,2018,Spider-Man: Into the Spider-Verse (2018),Winter
433,Teenage Mutant Ninja Turtles: Out of the Shadows,35316382,82051601,43%,4071,8675,2016-06-03,3,2016,Teenage Mutant Ninja Turtles: Out of the Shadows (2016),Summer
434,Lilo & Stitch,35260212,145794338,24.2%,3191,11049,2002-06-21,3,2002,Lilo & Stitch (2002),Summer
435,Sing,35258145,270395425,13%,4022,8766,2016-12-21,1,2016,Sing (2016),Winter
436,Ride Along 2,35243095,91221830,38.6%,3175,11100,2016-01-15,1,2016,Ride Along 2 (2016),Winter
437,National Treasure,35142554,173008894,20.3%,3017,11648,2004-11-19,4,2004,National Treasure (2004),Fall
438,The Ring Two,35065237,76231249,46%,3332,10523,2005-03-18,2,2005,The Ring Two (2005),Spring
439,Runaway Bride,35055556,152257509,23%,3158,11100,1999-07-30,3,1999,Runaway Bride (1999),Summer
440,Sully,35028301,125070033,28%,3525,9937,2016-09-09,4,2016,Sully (2016),Fall
441,Annabelle: Creation,35006404,102092201,34.3%,3502,9996,2017-08-11,3,2017,Annabelle: Creation (2017),Summer
442,Mamma Mia! Here We Go Again,34952180,120634935,29%,3317,10537,2018-07-20,3,2018,Mamma Mia! Here We Go Again (2018),Summer
443,The Expendables,34825135,103068524,33.8%,3270,10649,2010-08-13,3,2010,The Expendables (2010),Summer
444,Gladiator,34819017,187705427,18.6%,2938,11851,2000-05-05,2,2000,Gladiator (2000),Spring
445,Scream 3,34713342,89143175,38.9%,3467,10012,2000-02-04,1,2000,Scream 3 (2000),Winter
446,The Magnificent Seven,34703397,93432655,37.1%,3674,9445,2016-09-23,4,2016,The Magnificent Seven (2016),Fall
447,Identity Thief,34551025,134506920,25.7%,3141,11000,2013-02-08,1,2013,Identity Thief (2013),Winter
448,Hellboy II: The Golden Army,34539115,75986503,45.4%,3204,10779,2008-07-11,3,2008,Hellboy II: The Golden Army (2008),Summer
449,Enchanted,34440317,127807262,27%,3730,9233,2007-11-21,4,2007,Enchanted (2007),Fall
450,Couples Retreat,34286740,109204945,31.4%,3000,11428,2009-10-09,4,2009,Couples Retreat (2009),Fall
451,Sausage Party,34263534,97685686,35.1%,3103,11042,2016-08-12,3,2016,Sausage Party (2016),Summer
452,I Now Pronounce You Chuck & Larry,34233750,120059556,28.5%,3495,9795,2007-07-20,3,2007,I Now Pronounce You Chuck & Larry (2007),Summer
453,Tarzan,34221968,171091819,20%,3005,11388,1999-06-16,3,1999,Tarzan (1999),Summer
454,Ransom,34216088,136492681,25.1%,2676,12786,1996-11-08,4,1996,Ransom (1996),Fall
455,Norbit,34195434,95673607,35.7%,3136,10904,2007-02-09,1,2007,Norbit (2007),Winter
456,The Equalizer,34137828,101530738,33.6%,3236,10549,2014-09-26,4,2014,The Equalizer (2014),Fall
457,The Blind Side,34119372,255959475,13.3%,3110,10970,2009-11-20,4,2009,The Blind Side (2009),Fall
458,The LEGO Movie 2: The Second Part,34115335,105806508,32.2%,4303,7928,2019-02-08,1,2019,The LEGO Movie 2: The Second Part (2019),Winter
459,Puss in Boots,34077439,149260504,22.8%,3952,8622,2011-10-28,4,2011,Puss in Boots (2011),Fall
460,The Purge,34058360,64473115,52.8%,2536,13429,2013-06-07,3,2013,The Purge (2013),Summer
461,Lethal Weapon 4,34048124,130444603,26.1%,3117,10923,1998-07-10,3,1998,Lethal Weapon 4 (1998),Summer
