,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name
479,Hustlers,33181361,104963598,31.6%,3250,10209,2019-09-13,4,2019,Hustlers (2019),Fall
480,A Wrinkle in Time,33123609,100478608,33%,3980,8322,2018-03-09,2,2018,A Wrinkle in Time (2018),Spring
481,Superbad,33052411,121463226,27.2%,2948,11211,2007-08-17,3,2007,Superbad (2007),Summer
482,Tomorrowland,33028165,93436322,35.4%,3972,8315,2015-05-22,2,2015,Tomorrowland (2015),Spring
483,Blades of Glory,33014202,118594548,27.8%,3372,9790,2007-03-30,2,2007,Blades of Glory (2007),Spring
484,Harley Quinn: Birds of Prey,33010017,84158461,39.2%,4236,7792,2020-02-07,1,2020,Harley Quinn: Birds of Prey (2020),Winter
485,Rush Hour,33001803,141186864,23.4%,2638,12510,1998-09-18,4,1998,Rush Hour (1998),Fall
486,Scream 2,32926342,101363301,32.5%,2663,12364,1997-12-12,1,1997,Scream 2 (1997),Winter
487,A Nightmare on Elm Street,32902299,63075011,52.2%,3332,9874,2010-04-30,2,2010,A Nightmare on Elm Street (2010),Spring
488,X-Men: Dark Phoenix,32828348,65845974,49.9%,3721,8822,2019-06-07,3,2019,X-Men: Dark Phoenix (2019),Summer
489,The Book of Eli,32789494,94835059,34.6%,3111,10539,2010-01-15,1,2010,The Book of Eli (2010),Winter
490,Blade Runner 2049,32753122,92054159,35.6%,4058,8071,2017-10-06,4,2017,Blade Runner 2049 (2017),Fall
491,Where the Wild Things Are,32695407,77233467,42.3%,3735,8753,2009-10-16,4,2009,Where the Wild Things Are (2009),Fall
492,Due Date,32689406,100539043,32.5%,3355,9743,2010-11-05,4,2010,Due Date (2010),Fall
493,Blade II,32528016,82348319,39.5%,2707,12016,2002-03-22,2,2002,Blade II (2002),Spring
494,The Maze Runner,32512804,102427862,31.7%,3604,9021,2014-09-19,4,2014,The Maze Runner (2014),Fall
495,Spy Kids 3-D: Game Over,32500000,111761982,29.1%,3344,9718,2003-07-25,3,2003,Spy Kids 3-D: Game Over (2003),Summer
496,Hannah Montana: The Movie,32324487,79576189,40.6%,3118,10367,2009-04-10,2,2009,Hannah Montana: The Movie (2009),Spring
497,Mr. Peabody & Sherman,32207057,111506430,28.9%,3934,8186,2014-03-07,2,2014,Mr. Peabody & Sherman (2014),Spring
498,Immortals,32206425,83504017,38.6%,3112,10349,2011-11-11,4,2011,Immortals (2011),Fall
499,Wedding Crashers,32200000,209255921,15.4%,2925,11008,2005-07-15,3,2005,Wedding Crashers (2005),Summer
500,Elf,32100000,173398518,18.5%,3337,9619,2003-11-07,4,2003,Elf (2003),Fall
501,Jackass Presents: Bad Grandpa,32055177,102003019,31.4%,3336,9608,2013-10-25,4,2013,Jackass Presents: Bad Grandpa (2013),Fall
502,The SpongeBob SquarePants Movie,32018216,85417988,37.5%,3212,9968,2004-11-19,4,2004,The SpongeBob SquarePants Movie (2004),Fall
503,Paul Blart: Mall Cop,31832636,146336178,21.8%,3144,10124,2009-01-16,1,2009,Paul Blart: Mall Cop (2009),Winter
504,Terminator 2: Judgment Day,31765506,204843345,15.5%,2274,13969,1991-07-03,3,1991,Terminator 2: Judgment Day (1991),Summer
505,Saw IV,31756764,63300095,50.2%,3183,9976,2007-10-26,4,2007,Saw IV (2007),Fall
506,Saw II,31725652,87039965,36.4%,2949,10758,2005-10-28,4,2005,Saw II (2005),Fall
507,G-Force,31706934,119436770,26.6%,3697,8576,2009-07-24,3,2009,G-Force (2009),Summer
508,The Mummy,31688375,80227895,39.5%,4035,7853,2017-06-09,3,2017,The Mummy (2017),Summer
509,Bad Teacher,31603106,100292856,31.5%,3049,10365,2011-06-24,3,2011,Bad Teacher (2011),Summer
510,The Truman Show,31542121,125618201,25.1%,2315,13625,1998-06-05,3,1998,The Truman Show (1998),Summer
511,The Purge: Election Year,31515110,79213375,39.8%,2796,11271,2016-07-01,3,2016,The Purge: Election Year (2016),Summer
512,The Wolfman,31479235,61979680,50.8%,3222,9770,2010-02-12,1,2010,The Wolfman (2010),Winter
513,Ford v Ferrari,31474958,117624357,26.8%,3528,8921,2019-11-15,4,2019,Ford v Ferrari (2019),Fall
514,Liar Liar,31423025,181410615,17.3%,2845,11045,1997-03-21,2,1997,Liar Liar (1997),Spring
515,Percy Jackson & the Olympians: The Lightning Thief,31236067,88768303,35.2%,3356,9307,2010-02-12,1,2010,Percy Jackson & the Olympians: The Lightning Thief (2010),Winter
516,Girls Trip,31201920,115171585,27.1%,2591,12042,2017-07-21,3,2017,Girls Trip (2017),Summer
517,Evan Almighty,31192615,100462298,31%,3604,8654,2007-06-22,3,2007,Evan Almighty (2007),Summer
518,The Sum of All Fears,31178526,118907036,26.2%,3183,9795,2002-05-31,2,2002,The Sum of All Fears (2002),Spring
519,Home Alone 2: Lost in New York,31126882,173585516,17.9%,2222,14008,1992-11-20,4,1992,Home Alone 2: Lost in New York (1992),Fall
520,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,31117834,65281781,47.7%,683,45560,2008-02-01,1,2008,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert (2008),Winter
521,Bringing Down the House,31101026,132716677,23.4%,2801,11103,2003-03-07,2,2003,Bringing Down the House (2003),Spring
522,Four Christmases,31069826,120146040,25.9%,3310,9386,2008-11-26,4,2008,Four Christmases (2008),Fall
523,Into the Woods,31051923,128002372,24.3%,2440,12726,2014-12-25,1,2014,Into the Woods (2014),Winter
524,Pokémon: The First Movie - Mewtwo Strikes Back,31036678,85744662,36.2%,3043,10199,1999-11-10,4,1999,Pokémon: The First Movie - Mewtwo Strikes Back (1999),Fall
525,Downton Abbey,31033665,96854135,32%,3079,10079,2019-09-20,4,2019,Downton Abbey (2019),Fall
526,Sex and the City 2,31001870,95347692,32.5%,3445,8999,2010-05-27,2,2010,Sex and the City 2 (2010),Spring
527,Step Brothers,30940732,100468793,30.8%,3094,10000,2008-07-25,3,2008,Step Brothers (2008),Summer
528,Little Fockers,30833665,148438600,20.8%,3536,8719,2010-12-22,1,2010,Little Fockers (2010),Winter
529,Star Trek: First Contact,30716131,92027888,33.4%,2812,10923,1996-11-22,4,1996,Star Trek: First Contact (1996),Fall
530,Knocked Up,30690990,148768917,20.6%,2871,10690,2007-06-01,3,2007,Knocked Up (2007),Summer
531,The Dukes of Hazzard,30675314,80270227,38.2%,3785,8104,2005-08-05,3,2005,The Dukes of Hazzard (2005),Summer
532,Unbroken,30621445,115637895,26.5%,3131,9780,2014-12-25,1,2014,Unbroken (2014),Winter
533,Brüno,30619130,60054530,51%,2756,11109,2009-07-10,3,2009,Brüno (2009),Summer
534,Saving Private Ryan,30576104,216540909,14.1%,2463,12414,1998-07-24,3,1998,Saving Private Ryan (1998),Summer
535,The Pacifier,30552694,113086868,27%,3131,9758,2005-03-04,2,2005,The Pacifier (2005),Spring
536,Bram Stoker's Dracula,30521679,82522790,37%,2491,12252,1992-11-13,4,1992,Bram Stoker's Dracula (1992),Fall
537,The Happening,30517109,64506874,47.3%,2986,10220,2008-06-13,3,2008,The Happening (2008),Summer
538,Just Go with It,30514732,103028109,29.6%,3548,8600,2011-02-11,1,2011,Just Go with It (2011),Winter
539,The Day the Earth Stood Still,30480153,79366978,38.4%,3560,8561,2008-12-12,1,2008,The Day the Earth Stood Still (2008),Winter
540,Dear John,30468614,80014842,38.1%,2969,10262,2010-02-05,1,2010,Dear John (2010),Winter
541,John Wick: Chapter 2,30436123,92029184,33.1%,3113,9777,2017-02-10,1,2017,John Wick: Chapter 2 (2017),Winter
542,Night at the Museum,30433781,250863268,12.1%,3685,8258,2006-12-22,1,2006,Night at the Museum (2006),Winter
543,Olympus Has Fallen,30373794,98925640,30.7%,3098,9804,2013-03-22,2,2013,Olympus Has Fallen (2013),Spring
544,Unbreakable,30330771,95011339,31.9%,2708,11200,2000-11-22,4,2000,Unbreakable (2000),Fall
545,Maze Runner: The Scorch Trials,30316510,81697192,37.1%,3791,7996,2015-09-18,4,2015,Maze Runner: The Scorch Trials (2015),Fall
546,Cloudy with a Chance of Meatballs,30304648,124870275,24.3%,3119,9716,2009-09-18,4,2009,Cloudy with a Chance of Meatballs (2009),Fall
547,The Addams Family,30300007,100044905,30.3%,4007,7561,2019-10-11,4,2019,The Addams Family (2019),Fall
548,America's Sweethearts,30181877,93607673,32.2%,3011,10023,2001-07-20,3,2001,America's Sweethearts (2001),Summer
549,John Carter,30180188,73078100,41.3%,3749,8050,2012-03-09,2,2012,John Carter (2012),Spring
550,The Lion King,30151614,94242001,32%,2330,12940,2011-09-16,4,2011,The Lion King (2011),Fall
551,The X Files,30138758,83898313,35.9%,2629,11463,1998-06-19,3,1998,The X Files (1998),Summer
552,Django Unchained,30122888,162805434,18.5%,3010,10007,2012-12-25,1,2012,Django Unchained (2012),Winter
553,The Best Man Holiday,30107555,70525195,42.7%,2024,14875,2013-11-15,4,2013,The Best Man Holiday (2013),Fall
554,Trainwreck,30097040,110212700,27.3%,3158,9530,2015-07-17,3,2015,Trainwreck (2015),Summer
555,Prince of Persia: The Sands of Time,30095259,90759676,33.2%,3646,8254,2010-05-28,2,2010,Prince of Persia: The Sands of Time (2010),Spring
556,Dodgeball,30070196,114326736,26.3%,2694,11161,2004-06-18,3,2004,Dodgeball (2004),Summer
557,Lemony Snicket's A Series of Unfortunate Events,30061756,118634549,25.3%,3620,8304,2004-12-17,1,2004,Lemony Snicket's A Series of Unfortunate Events (2004),Winter
558,Sleepy Hollow,30060467,101071502,29.7%,3064,9810,1999-11-19,4,1999,Sleepy Hollow (1999),Fall
559,Panic Room,30056751,96397334,31.2%,3053,9844,2002-03-29,2,2002,Panic Room (2002),Spring
560,The Exorcism of Emily Rose,30054300,75072454,40%,2981,10081,2005-09-09,4,2005,The Exorcism of Emily Rose (2005),Fall
561,Saw V,30053954,56746769,53%,3060,9821,2008-10-24,4,2008,Saw V (2008),Fall
562,Catch Me If You Can,30053627,164615351,18.3%,3156,9522,2002-12-25,1,2002,Catch Me If You Can (2002),Winter
563,A Christmas Carol,30051075,137855863,21.8%,3683,8159,2009-11-06,4,2009,A Christmas Carol (2009),Fall
564,Men in Black: International,30035838,80001807,37.5%,4224,7110,2019-06-14,3,2019,Men in Black: International (2019),Summer
565,Madea's Family Reunion,30030661,63257940,47.5%,2194,13687,2006-02-24,1,2006,Madea's Family Reunion (2006),Winter
566,The Purge: Anarchy,29816675,71962800,41.4%,2805,10629,2014-07-18,3,2014,The Purge: Anarchy (2014),Summer
567,Elysium,29807393,93050117,32%,3284,9076,2013-08-09,3,2013,Elysium (2013),Summer
568,Hercules,29800263,72688614,41%,3595,8289,2014-07-25,3,2014,Hercules (2014),Summer
569,Constantine,29769098,75976178,39.2%,3006,9903,2005-02-18,1,2005,Constantine (2005),Winter
570,What Lies Beneath,29702959,155464351,19.1%,2813,10559,2000-07-21,3,2000,What Lies Beneath (2000),Summer
571,The Flintstones,29688730,130531208,22.7%,2498,11885,1994-05-27,2,1994,The Flintstones (1994),Spring
572,Dark Shadows,29685274,79727149,37.2%,3755,7905,2012-05-11,2,2012,Dark Shadows (2012),Spring
573,Daddy's Home 2,29651193,104029443,28.5%,3575,8294,2017-11-10,4,2017,Daddy's Home 2 (2017),Fall
574,Creed,29632823,109767581,27%,3404,8705,2015-11-25,4,2015,Creed (2015),Fall
575,Insidious: The Last Key,29581355,67745330,43.7%,3116,9493,2018-01-05,1,2018,Insidious: The Last Key (2018),Winter
576,Justin Bieber: Never Say Never,29514054,73013910,40.4%,3105,9505,2011-02-11,1,2011,Justin Bieber: Never Say Never (2011),Winter
577,Ghostbusters II,29472894,112494738,26.2%,2410,12229,1989-06-16,3,1989,Ghostbusters II (1989),Summer
578,Scooby-Doo 2: Monsters Unleashed,29438331,84216833,35%,3312,8888,2004-03-26,2,2004,Scooby-Doo 2: Monsters Unleashed (2004),Spring
579,Indiana Jones and the Last Crusade,29355021,197171806,14.9%,2327,12614,1989-05-24,2,1989,Indiana Jones and the Last Crusade (1989),Spring
580,A.I. Artificial Intelligence,29352630,78616689,37.3%,3242,9053,2001-06-29,3,2001,A.I. Artificial Intelligence (2001),Summer
581,Now You See Me,29350389,117723989,24.9%,2925,10034,2013-05-31,2,2013,Now You See Me (2013),Spring
582,Beverly Hills Chihuahua,29300465,94514402,31%,3215,9113,2008-10-03,4,2008,Beverly Hills Chihuahua (2008),Fall
583,Why Did I Get Married Too?,29289537,60095852,48.7%,2155,13591,2010-04-02,2,2010,Why Did I Get Married Too? (2010),Spring
584,Think Like a Man Too,29241911,65182182,44.9%,2225,13142,2014-06-20,3,2014,Think Like a Man Too (2014),Summer
585,The Muppets,29239026,88631237,33%,3440,8499,2011-11-23,4,2011,The Muppets (2011),Fall
586,The Lone Ranger,29210849,89302115,32.7%,3904,7482,2013-07-03,3,2013,The Lone Ranger (2013),Summer
587,Eagle Eye,29150721,101440743,28.7%,3510,8305,2008-09-26,4,2008,Eagle Eye (2008),Fall
588,Toy Story,29140617,191796233,15.2%,2457,11860,1995-11-22,4,1995,Toy Story (1995),Fall
589,The Texas Chainsaw Massacre,29100000,80571655,36.1%,3016,9648,2003-10-17,4,2003,The Texas Chainsaw Massacre (2003),Fall
590,Spy,29085719,110825712,26.2%,3711,7837,2015-06-05,3,2015,Spy (2015),Summer
591,Terminator: Dark Fate,29033832,62253077,46.6%,4086,7105,2019-11-01,4,2019,Terminator: Dark Fate (2019),Fall
592,Allegiant,29027348,66184051,43.9%,3740,7761,2016-03-18,2,2016,Allegiant (2016),Spring
593,Doctor Dolittle,29014324,144156605,20.1%,2777,10448,1998-06-26,3,1998,Doctor Dolittle (1998),Summer
594,The Santa Clause 2,29008696,139236327,20.8%,3350,8659,2002-11-01,4,2002,The Santa Clause 2 (2002),Fall
595,Paranormal Activity 4,29003866,53885000,53.8%,3412,8500,2012-10-19,4,2012,Paranormal Activity 4 (2012),Fall
596,Jackass Number Two,29002002,72778712,39.8%,3059,9480,2006-09-22,4,2006,Jackass Number Two (2006),Fall
597,Inside Man,28954945,88513495,32.7%,2818,10274,2006-03-24,2,2006,Inside Man (2006),Spring
598,Cast Away,28883406,233632142,12.4%,2774,10412,2000-12-22,1,2000,Cast Away (2000),Winter
599,Non-Stop,28875635,92168600,31.3%,3090,9344,2014-02-28,1,2014,Non-Stop (2014),Winter
600,Miss Peregrine's Home for Peculiar Children,28871140,87242834,33.1%,3522,8197,2016-09-30,4,2016,Miss Peregrine's Home for Peculiar Children (2016),Fall
601,Edge of Tomorrow,28760246,100206256,28.7%,3490,8240,2014-06-06,3,2014,Edge of Tomorrow (2014),Summer
602,Murder on the Orient Express,28681472,102826543,27.9%,3341,8584,2017-11-10,4,2017,Murder on the Orient Express (2017),Fall
603,Titanic,28638131,600788188,4.8%,2674,10709,1997-12-19,1,1997,Titanic (1997),Winter
604,Meet the Parents,28623300,166244045,17.2%,2614,10950,2000-10-06,4,2000,Meet the Parents (2000),Fall
605,Obsessed,28612730,68261644,41.9%,2514,11381,2009-04-24,2,2009,Obsessed (2009),Spring
606,The Expendables 2,28591370,85028192,33.6%,3316,8622,2012-08-17,3,2012,The Expendables 2 (2012),Summer
607,Alita: Battle Angel,28525613,85710210,33.3%,3790,7526,2019-02-14,1,2019,Alita: Battle Angel (2019),Winter
608,Tyler Perry's Boo! A Madea Halloween,28501448,73206343,38.9%,2260,12611,2016-10-21,4,2016,Tyler Perry's Boo! A Madea Halloween (2016),Fall
609,Anchorman: The Legend of Ron Burgundy,28416365,85288303,33.3%,3091,9193,2004-07-09,3,2004,Anchorman: The Legend of Ron Burgundy (2004),Summer
610,Mama,28402310,71628180,39.6%,2647,10730,2013-01-18,1,2013,Mama (2013),Winter
611,Nacho Libre,28309599,80197993,35.3%,3070,9221,2006-06-16,3,2006,Nacho Libre (2006),Summer
612,Horrible Bosses,28302165,117538559,24.1%,3040,9309,2011-07-08,3,2011,Horrible Bosses (2011),Summer
613,The Invisible Man,28205665,64914050,43.4%,3610,7813,2020-02-28,1,2020,The Invisible Man (2020),Winter
614,Erin Brockovich,28138465,125595205,22.4%,2848,9880,2000-03-17,2,2000,Erin Brockovich (2000),Spring
615,Pacific Rim: Uprising,28116535,59874525,47%,3708,7582,2018-03-23,2,2018,Pacific Rim: Uprising (2018),Spring
616,Starsky & Hutch,28103367,88237754,31.8%,3185,8823,2004-03-05,2,2004,Starsky & Hutch (2004),Spring
617,Sin City,28100000,74103820,37.9%,3230,8699,2005-04-01,2,2005,Sin City (2005),Spring
618,Back to the Future Part II,27835125,118450002,23.5%,1865,14925,1989-11-22,4,1989,Back to the Future Part II (1989),Fall
619,Hairspray,27800000,118871849,23.4%,3121,8907,2007-07-20,3,2007,Hairspray (2007),Summer
620,The Matrix,27788331,171479930,16.2%,2849,9753,1999-03-31,2,1999,The Matrix (1999),Spring
621,He's Just Not That Into You,27785487,93953653,29.6%,3175,8751,2009-02-06,1,2009,He's Just Not That Into You (2009),Winter
622,Mamma Mia!,27751240,144130063,19.2%,2976,9325,2008-07-18,3,2008,Mamma Mia! (2008),Summer
623,Big Momma's House 2,27736056,70165972,39.5%,3261,8505,2006-01-27,1,2006,Big Momma's House 2 (2006),Winter
624,Jarhead,27726210,62658220,44.2%,2411,11499,2005-11-04,4,2005,Jarhead (2005),Fall
625,Along Came Polly,27721185,88097164,31.5%,2984,9289,2004-01-16,1,2004,Along Came Polly (2004),Winter
626,Wild Wild West,27687484,113804681,24.3%,3342,8284,1999-06-30,3,1999,Wild Wild West (1999),Summer
627,Daddy Day Care,27623580,104297061,26.5%,3370,8196,2003-05-09,2,2003,Daddy Day Care (2003),Spring
628,The Ugly Truth,27605576,88915214,31%,2882,9578,2009-07-24,3,2009,The Ugly Truth (2009),Summer
629,Cheaper by the Dozen,27557647,138614544,19.9%,3298,8355,2003-12-25,1,2003,Cheaper by the Dozen (2003),Winter
630,Wonder,27547866,132422809,20.8%,3096,8897,2017-11-17,4,2017,Wonder (2017),Fall
631,The Devil Wears Prada,27537244,124740460,22.1%,2847,9672,2006-06-30,3,2006,The Devil Wears Prada (2006),Summer
632,Space Jam,27528529,90418342,30.4%,2650,10388,1996-11-15,4,1996,Space Jam (1996),Fall
633,After Earth,27520040,60522097,45.5%,3401,8091,2013-05-31,2,2013,After Earth (2013),Spring
634,Beowulf,27515871,82280579,33.4%,3153,8726,2007-11-16,4,2007,Beowulf (2007),Fall
635,42,27487144,95020213,28.9%,3003,9153,2013-04-12,2,2013,42 (2013),Spring
636,Bedtime Stories,27450296,110101975,24.9%,3681,7457,2008-12-25,1,2008,Bedtime Stories (2008),Winter
637,The Final Destination,27408309,66477700,41.2%,3121,8781,2009-08-28,3,2009,The Final Destination (2009),Summer
638,Jumper,27354808,80172128,34.1%,3428,7979,2008-02-14,1,2008,Jumper (2008),Winter
639,Journey 2: The Mysterious Island,27335363,103860290,26.3%,3470,7877,2012-02-10,1,2012,Journey 2: The Mysterious Island (2012),Winter
640,The Rugrats Movie,27321470,100494675,27.2%,2782,9820,1998-11-20,4,1998,The Rugrats Movie (1998),Fall
641,Real Steel,27319677,85468508,32%,3440,7941,2011-10-07,4,2011,Real Steel (2011),Fall
642,Les Misérables,27281735,148809770,18.3%,2814,9695,2012-12-25,1,2012,Les Misérables (2012),Winter
643,Night School,27257615,77339130,35.2%,3010,9055,2018-09-28,4,2018,Night School (2018),Fall
644,Jack the Giant Slayer,27202226,65187603,41.7%,3525,7716,2013-03-01,2,2013,Jack the Giant Slayer (2013),Spring
645,The Bourne Identity,27118640,121661683,22.3%,2638,10280,2002-06-14,3,2002,The Bourne Identity (2002),Summer
646,Tyler Perry's a Madea Family Funeral,27062332,73257045,36.9%,2442,11082,2019-03-01,2,2019,Tyler Perry's a Madea Family Funeral (2019),Spring
647,2 Guns,27059130,75612460,35.8%,3025,8945,2013-08-02,3,2013,2 Guns (2013),Summer
648,Terminator Genisys,27018486,89760956,30.1%,3758,7189,2015-07-01,3,2015,Terminator Genisys (2015),Summer
649,Ender's Game,27017351,61737191,43.8%,3407,7929,2013-11-01,4,2013,Ender's Game (2013),Fall
650,The Departed,26887467,132384315,20.3%,3017,8911,2006-10-06,4,2006,The Departed (2006),Fall
651,Alice Through the Looking Glass,26858726,77041381,34.9%,3763,7137,2016-05-27,2,2016,Alice Through the Looking Glass (2016),Spring
652,Underworld: Evolution,26857181,62318875,43.1%,3207,8374,2006-01-20,1,2006,Underworld: Evolution (2006),Winter
653,The Curious Case of Benjamin Button,26853816,127509326,21.1%,2988,8987,2008-12-25,1,2008,The Curious Case of Benjamin Button (2008),Winter
654,Zombieland: Double Tap,26803104,73123082,36.6%,3468,7728,2019-10-18,4,2019,Zombieland: Double Tap (2019),Fall
655,Knives Out,26769548,165363234,16.2%,3461,7734,2019-11-27,4,2019,Knives Out (2019),Fall
656,Flubber,26725207,92977226,28.7%,2641,10119,1997-11-26,4,1997,Flubber (1997),Fall
657,Dawn of the Dead,26722575,59020957,45.3%,2745,9735,2004-03-19,2,2004,Dawn of the Dead (2004),Spring
658,The Sixth Sense,26681262,293506292,9.1%,2161,12346,1999-08-06,3,1999,The Sixth Sense (1999),Summer
659,Resident Evil: Afterlife,26650264,60128566,44.3%,3203,8320,2010-09-10,4,2010,Resident Evil: Afterlife (2010),Fall
660,The House with a Clock in Its Walls,26608020,68549695,38.8%,3592,7407,2018-09-21,4,2018,The House with a Clock in Its Walls (2018),Fall
661,The Campaign,26588460,86907746,30.6%,3205,8295,2012-08-10,3,2012,The Campaign (2012),Summer
662,Spy Kids,26546881,112719001,23.6%,3104,8552,2001-03-30,2,2001,Spy Kids (2001),Spring
663,The Pursuit of Happyness,26541709,163566459,16.2%,2852,9306,2006-12-15,1,2006,The Pursuit of Happyness (2006),Winter
664,Crazy Rich Asians,26510140,174532921,15.2%,3384,7833,2018-08-15,3,2018,Crazy Rich Asians (2018),Summer
665,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,26455463,128505958,20.6%,837,31607,2006-11-03,4,2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Fall
666,All Eyez on Me,26435354,44922302,58.8%,2471,10698,2017-06-16,3,2017,All Eyez on Me (2017),Summer
667,We're the Millers,26419396,150394119,17.6%,3260,8104,2013-08-07,3,2013,We're the Millers (2013),Summer
668,Hollow Man,26414386,73209340,36.1%,2956,8935,2000-08-04,3,2000,Hollow Man (2000),Summer
669,Don't Breathe,26411706,89217875,29.6%,3051,8656,2016-08-26,3,2016,Don't Breathe (2016),Summer
670,Halloween,26362367,58272029,45.2%,3472,7592,2007-08-31,3,2007,Halloween (2007),Summer
671,Beverly Hills Cop II,26348555,153665036,17.2%,2326,11327,1987-05-20,2,1987,Beverly Hills Cop II (1987),Spring
672,The Curse of La Llorona,26347631,54733739,48.1%,3372,7813,2019-04-19,2,2019,The Curse of La Llorona (2019),Spring
673,Bridesmaids,26247410,169106725,15.5%,2918,8995,2011-05-13,2,2011,Bridesmaids (2011),Spring
674,Anchorman 2: The Legend Continues,26232425,125168368,21%,3507,7480,2013-12-18,1,2013,Anchorman 2: The Legend Continues (2013),Winter
675,Bolt,26223128,114053579,23%,3651,7182,2008-11-21,4,2008,Bolt (2008),Fall
676,GoldenEye,26205007,106429941,24.6%,2667,9825,1995-11-17,4,1995,GoldenEye (1995),Fall
677,The Golden Compass,26125000,70107728,37.3%,3528,7405,2007-12-07,1,2007,The Golden Compass (2007),Winter
678,The Help,26044590,169708112,15.4%,2534,10278,2011-08-10,3,2011,The Help (2011),Summer
679,Happy Death Day,26039025,55683845,46.8%,3149,8268,2017-10-13,4,2017,Happy Death Day (2017),Fall
680,The Perfect Guy,25888154,57027435,45.4%,2221,11656,2015-09-11,4,2015,The Perfect Guy (2015),Fall
681,True Lies,25869770,146282411,17.7%,2368,10924,1994-07-15,3,1994,True Lies (1994),Summer
682,Tropic Thunder,25812796,110515313,23.4%,3319,7777,2008-08-13,3,2008,Tropic Thunder (2008),Summer
683,Evil Dead,25775847,54239856,47.5%,3025,8520,2013-04-05,2,2013,Evil Dead (2013),Spring
684,Rocketman,25725722,96368160,26.7%,3610,7126,2019-05-31,2,2019,Rocketman (2019),Spring
685,Miami Vice,25723815,63450470,40.5%,3021,8515,2006-07-28,3,2006,Miami Vice (2006),Summer
686,Captain Phillips,25718314,107100855,24%,3020,8515,2013-10-11,4,2013,Captain Phillips (2013),Fall
687,Fantastic Four,25685737,56117548,45.8%,3995,6429,2015-08-07,3,2015,Fantastic Four (2015),Summer
688,The A-Team,25669455,77222099,33.2%,3535,7261,2010-06-11,3,2010,The A-Team (2010),Summer
689,Big Momma's House,25661041,117559438,21.8%,2802,9158,2000-06-02,3,2000,Big Momma's House (2000),Summer
690,About Last Night,25649011,48637684,52.7%,2253,11384,2014-02-14,1,2014,About Last Night (2014),Winter
691,V for Vendetta,25642340,70511035,36.4%,3365,7620,2006-03-17,2,2006,V for Vendetta (2006),Spring
692,Robin Hood: Prince of Thieves,25625602,165493908,15.5%,2369,10817,1991-06-14,3,1991,Robin Hood: Prince of Thieves (1991),Summer
693,Son of God,25601865,59700064,42.9%,3260,7853,2014-02-28,1,2014,Son of God (2014),Winter
694,Kill Bill: Vol. 2,25600000,66208183,38.7%,2971,8616,2004-04-16,2,2004,Kill Bill: Vol. 2 (2004),Spring
695,Total Recall,25577758,58877969,43.4%,3601,7102,2012-08-03,3,2012,Total Recall (2012),Summer
696,Battleship,25534825,65422625,39%,3690,6920,2012-05-18,2,2012,Battleship (2012),Spring
697,Total Recall,25533700,119394840,21.4%,2060,12395,1990-06-01,3,1990,Total Recall (1990),Summer
698,Penguins of Madagascar,25447444,83850911,30.4%,3764,6760,2014-11-26,4,2014,Penguins of Madagascar (2014),Fall
699,The Visit,25427560,65206105,39%,3069,8285,2015-09-11,4,2015,The Visit (2015),Fall
700,The Nutty Professor,25411725,128814019,19.7%,2115,12015,1996-06-28,3,1996,The Nutty Professor (1996),Summer
701,The Firm,25400000,158348367,16%,2393,10614,1993-07-02,3,1993,The Firm (1993),Summer
702,Teenage Mutant Ninja Turtles,25398367,135265915,18.8%,2006,12661,1990-03-30,2,1990,Teenage Mutant Ninja Turtles (1990),Spring
703,Madea's Witness Protection,25390575,65653242,38.7%,2161,11749,2012-06-29,3,2012,Madea's Witness Protection (2012),Summer
704,Gnomeo & Juliet,25356909,99967670,25.4%,2994,8469,2011-02-11,1,2011,Gnomeo & Juliet (2011),Winter
705,Apollo 13,25353380,172071312,14.7%,2197,11540,1995-06-30,3,1995,Apollo 13 (1995),Summer
706,Indiana Jones and the Temple of Doom,25337110,179870271,14.1%,1687,15019,1984-05-23,2,1984,Indiana Jones and the Temple of Doom (1984),Spring
707,Gone in 60 Seconds,25336048,101648571,24.9%,3006,8428,2000-06-09,3,2000,Gone in 60 Seconds (2000),Summer
708,Underworld Awakening,25306725,62321039,40.6%,3078,8221,2012-01-20,1,2012,Underworld Awakening (2012),Winter
709,Public Enemies,25271675,97104620,26%,3334,7579,2009-07-01,3,2009,Public Enemies (2009),Summer
710,Patch Adams,25262280,135026902,18.7%,2712,9315,1998-12-25,1,1998,Patch Adams (1998),Winter
711,Date Night,25207599,98711404,25.5%,3374,7471,2010-04-09,2,2010,Date Night (2010),Spring
712,Tomorrow Never Dies,25143007,125304276,20.1%,2807,8957,1997-12-19,1,1997,Tomorrow Never Dies (1997),Winter
713,Meet the Robinsons,25123781,97822171,25.7%,3413,7361,2007-03-30,2,2007,Meet the Robinsons (2007),Spring
714,Master and Commander: The Far Side of the World,25105990,93927920,26.7%,3101,8096,2003-11-14,4,2003,Master and Commander: The Far Side of the World (2003),Fall
715,The Rock,25069525,134069511,18.7%,2392,10480,1996-06-07,3,1996,The Rock (1996),Summer
